size	encoders	mean_jsd	similarity	mean_jsd_weighted	similarity_weighted	accuracy	n_correct	kappa
4	bol,gpt_oss_20b,ministral,qwen	0.2409643348301712	0.6523619491094043	0.15895253193068642	0.7706799704468541	0.30392156862745096	31	0.20548546352166752
5	bol,granite,haiku,qwen,rinna_jp_3_6b_jpfull	0.241071849962303	0.6522068375614571	0.1461081486092445	0.7892104985679752	0.38235294117647056	39	0.2863171923589516
4	bol,haiku,ministral,qwen	0.24116266437826894	0.6520758200539019	0.15363063391572288	0.7783578463211588	0.30392156862745096	31	0.20171957671957674
6	bol,gpt_oss_20b,haiku,ministral,qwen,rinna_bilingual_4b_jpfull	0.24123742029425949	0.6519679700646253	0.1493339991131638	0.7845565800433217	0.3431372549019608	35	0.24859813084112137
5	bol,gpt_oss_20b,granite,qwen,rinna_bilingual_4b_jpfull	0.24130955385512698	0.6518639033340801	0.15219447153956164	0.780429790659158	0.28431372549019607	29	0.1778734680357733
3	bol,granite,ministral	0.24133143831141898	0.651832330737515	0.16563173006427365	0.761043924422413	0.29411764705882354	30	0.18707106486606162
4	bol,granite,ministral,rinna_bilingual_4b_jpfull	0.24135955483751118	0.6517917671647548	0.15729019368217267	0.7730782175942649	0.28431372549019607	29	0.1788707543008381
3	granite,haiku,qwen	0.24144473950223527	0.6516688716713975	0.1334802481682224	0.8074287079110773	0.37254901960784315	38	0.27045149754135
5	gpt_oss_20b,opus,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.24152112433152034	0.6515586716569888	0.13759347290729076	0.8014945789779617	0.38235294117647056	39	0.3027343749999999
5	gpt_oss_20b,granite,ministral,qwen,rinna_bilingual_4b_jpfull	0.2416433205094051	0.651382379837139	0.14458363105936334	0.791409912476937	0.3137254901960784	32	0.20772303595206387
5	bol,granite,ministral,qwen,rinna_bilingual_4b_jpfull	0.2417913534471836	0.6511688134519176	0.1547908928603447	0.7766839464956059	0.30392156862745096	31	0.20251073670300634
3	haiku,ministral,qwen	0.24183767297705683	0.6511019884958733	0.13982406914930356	0.7982765088413842	0.3431372549019608	35	0.24125680026645946
5	granite,haiku,ministral,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.2419476020695626	0.6509433943392657	0.1359160109821458	0.8039146449786483	0.39215686274509803	40	0.302679457492557
5	bol,granite,haiku,qwen,rinna_bilingual_4b_jpfull	0.24214019184946806	0.6506655460188702	0.14744308260117395	0.7872845959179046	0.3333333333333333	34	0.23384513420965425
5	gpt_oss_20b,granite,haiku,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.2422117221811122	0.6505623495641341	0.13418987872730842	0.8064049274226207	0.4117647058823529	42	0.323756906077348
5	gpt_oss_20b,granite,ministral,qwen,rinna_jp_3_6b_jpfull	0.24248113988513825	0.650173661978608	0.14353562002917794	0.7929218727929824	0.29411764705882354	30	0.18508655126497997
6	bol,haiku,opus,qwen,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.24248152332619008	0.650173108790104	0.1422902311871867	0.7947185890993016	0.39215686274509803	40	0.30383091149273456
4	bol,gpt_oss_20b,ministral,rinna_jp_3_6b_jpfull	0.2425477927861245	0.6500775021688943	0.15783844119047621	0.7722872636328557	0.3333333333333333	34	0.2383880531459317
5	bol,haiku,opus,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.24254893624151827	0.6500758525114683	0.14159191630803947	0.7957260445124263	0.37254901960784315	38	0.2826373626373625
4	bol,granite,haiku,rinna_jp_3_6b_jpfull	0.2425804557454762	0.6500303794794169	0.14925776839493204	0.7846665577224781	0.38235294117647056	39	0.2865549017430886
3	bol,haiku,ministral	0.2426055740355731	0.6499941414468584	0.15903007782349635	0.7705680953718559	0.28431372549019607	29	0.17796423051446242
4	haiku,opus,rinna_bilingual_4b_jpfull,rinna_jp_3_6b_jpfull	0.24264652602244993	0.6499350602184766	0.12995354022149253	0.8125166719764882	0.3431372549019608	35	0.24536219081272082
3	bol,opus,rinna_bilingual_4b_jpfull	0.2429691903715498	0.6494695539621587	0.14968100676926274	0.7840559538187173	0.30392156862745096	31	0.2048748353096178
