project	quadrant	count	share_of_known	n_total	n_known	n_gt	n_bol	n_unknown
verify	LP	1	0.1429	7	7	6	1	0
verify	NP	0	0.0	7	7	6	1	0
verify	HN-D	1	0.1429	7	7	6	1	0
verify	HN-S	0	0.0	7	7	6	1	0
verify	LN	0	0.0	7	7	6	1	0
verify	NB	2	0.2857	7	7	6	1	0
verify	HB	2	0.2857	7	7	6	1	0
webui	HP-D	0	0.0	7	7	7	0	0
webui	HP-S	0	0.0	7	7	7	0	0
webui	LP	0	0.0	7	7	7	0	0
webui	NP	3	0.4286	7	7	7	0	0
webui	HN-D	1	0.1429	7	7	7	0	0
webui	HN-S	0	0.0	7	7	7	0	0
webui	LN	1	0.1429	7	7	7	0	0
webui	NB	1	0.1429	7	7	7	0	0
webui	HB	1	0.1429	7	7	7	0	0
yap	HP-D	4	0.3636	11	11	11	0	0
yap	HP-S	0	0.0	11	11	11	0	0
yap	LP	3	0.2727	11	11	11	0	0
yap	NP	1	0.0909	11	11	11	0	0
yap	HN-D	1	0.0909	11	11	11	0	0
yap	HN-S	0	0.0	11	11	11	0	0
yap	LN	0	0.0	11	11	11	0	0
yap	NB	2	0.1818	11	11	11	0	0
yap	HB	0	0.0	11	11	11	0	0
