first_word	n_prompts_HP-D	mean_log_prob_HP-D	n_prompts_HP-S	mean_log_prob_HP-S	n_prompts_LP	mean_log_prob_LP	n_prompts_NP	mean_log_prob_NP	n_prompts_HN-D	mean_log_prob_HN-D	n_prompts_HN-S	mean_log_prob_HN-S	n_prompts_LN	mean_log_prob_LN	n_prompts_NB	mean_log_prob_NB	n_prompts_HB	mean_log_prob_HB	softmax_HP-D	softmax_HP-S	softmax_LP	softmax_NP	softmax_HN-D	softmax_HN-S	softmax_LN	softmax_NB	softmax_HB	predicted_quadrant	max_softmax	n_face_tokens	is_claude	total_emit_count	empirical_majority_quadrant	total_emit_HP-D	total_emit_HP-S	total_emit_LP	total_emit_NP	total_emit_HN-D	total_emit_HN-S	total_emit_LN	total_emit_NB	total_emit_HB	argmax_matches_empirical
(´▿`;)	20	-62.58338813781738	20	-64.7032844543457	20	-65.01548404693604	20	-63.39177913665772	20	-60.99018516540527	20	-61.89431457519531	20	-62.00629653930664	20	-65.54773979187011	20	-63.24495677947998	0.09163124839613498	0.010999788404652102	0.008050035038923532	0.04082854031395267	0.4507781563153505	0.18251747389757592	0.16318164253099607	0.004727614300975145	0.047285500801439145	HN-D	0.4507781563153505	7	False	1	HN-D	0	0	0	0	1	0	0	0	0	True
(´◕ω◕`)	20	-77.28848114013672	20	-77.10856819152832	20	-77.7366340637207	20	-77.387939453125	20	-76.52413749694824	20	-76.3142032623291	20	-75.95089988708496	20	-78.48435516357422	20	-78.09795455932617	0.07636248908082655	0.09141453970949415	0.04878089163888235	0.06913307580308836	0.1639948849769805	0.2023035865313134	0.29092713715517593	0.023095032971935284	0.03398836213230362	LN	0.29092713715517593	8	False	0		0	0	0	0	0	0	0	0	0	
(´◕‸◕`;)	20	-62.58338813781738	20	-64.7032844543457	20	-65.01548404693604	20	-63.39177913665772	20	-60.99018516540527	20	-61.89431457519531	20	-62.00629653930664	20	-65.54773979187011	20	-63.24495677947998	0.09163124839613498	0.010999788404652102	0.008050035038923532	0.04082854031395267	0.4507781563153505	0.18251747389757592	0.16318164253099607	0.004727614300975145	0.047285500801439145	HN-D	0.4507781563153505	7	False	1	HN-S	0	0	0	0	0	1	0	0	0	False
(´◕‿◕`)	20	-58.68279590606689	20	-61.50196418762207	20	-60.163444137573244	20	-59.66480312347412	20	-58.80216178894043	20	-59.6116081237793	20	-59.36798534393311	20	-60.70718936920166	20	-60.163663673400876	0.2626244350806701	0.0156670021486821	0.059744478506420375	0.0983682206190301	0.23307472848112137	0.10374259576058827	0.1323613351477182	0.03468584036326789	0.059731363892501485	HP-D	0.2626244350806701	6	False	0		0	0	0	0	0	0	0	0	0	
(´◕‿◕`;)	20	-62.58338813781738	20	-64.7032844543457	20	-65.01548404693604	20	-63.39177913665772	20	-60.99018516540527	20	-61.89431457519531	20	-62.00629653930664	20	-65.54773979187011	20	-63.24495677947998	0.09163124839613498	0.010999788404652102	0.008050035038923532	0.04082854031395267	0.4507781563153505	0.18251747389757592	0.16318164253099607	0.004727614300975145	0.047285500801439145	HN-D	0.4507781563153505	7	False	1	HN-D	0	0	0	0	1	0	0	0	0	True
(´ヘ`;)	20	-20.185861587524414	20	-21.742631053924562	20	-20.4312837600708	20	-20.22943000793457	20	-19.80997610092163	20	-19.634029579162597	20	-19.37486352920532	20	-20.825948238372803	20	-20.578591060638427	0.10421139468822366	0.021969431523884152	0.08153230359200699	0.09976855534271926	0.15176100743634097	0.1809559236230079	0.2344915459084407	0.05494511767071926	0.07036472021465716	LN	0.2344915459084407	7	False	0		0	0	0	0	0	0	0	0	0	
(´・_・`)	20	-18.371329307556152	20	-20.427502059936522	20	-18.56991901397705	20	-18.729534339904784	20	-18.007461261749267	20	-17.446832609176635	20	-16.986780881881714	20	-18.18474922180176	20	-18.110237407684327	0.07631995674789673	0.009764581517299697	0.06257368072520249	0.0533422888320713	0.109815590197868	0.192372031030264	0.3047472931410001	0.09197479261343973	0.09908978519495791	LN	0.3047472931410001	8	True	44	LN	1	0	0	1	0	10	24	6	2	True
(´・̥̥̥ω・̥̥	20	-89.9809684753418	20	-91.89269828796387	20	-91.69826316833496	20	-91.82734451293945	20	-90.75128631591797	20	-90.46578674316406	20	-90.43601036071777	20	-91.15566520690918	20	-91.5930908203125	0.26978490432412494	0.0398808069056473	0.04844021212766113	0.04257422202160843	0.12487423992656677	0.16613599883526736	0.17115731519291025	0.08333996943843883	0.05381233122777505	HP-D	0.26978490432412494	8	True	1	LN	0	0	0	0	0	0	1	0	0	False
(´・̥̥̥ω・̥̥�	20	-89.9809684753418	20	-91.89269828796387	20	-91.69826316833496	20	-91.82734451293945	20	-90.75128631591797	20	-90.46578674316406	20	-90.43601036071777	20	-91.15566520690918	20	-91.5930908203125	0.26978490432412494	0.0398808069056473	0.04844021212766113	0.04257422202160843	0.12487423992656677	0.16613599883526736	0.17115731519291025	0.08333996943843883	0.05381233122777505	HP-D	0.26978490432412494	8	False	1	LN	0	0	0	0	0	0	1	0	0	False
(´・̥ω・̥`)	20	-97.1560115814209	20	-98.86111793518066	20	-98.67911758422852	20	-99.17462882995605	20	-97.53367538452149	20	-97.13439445495605	20	-97.14951057434082	20	-97.8270923614502	20	-98.58446083068847	0.20010816190571332	0.036370269762134026	0.043630307154042605	0.026582172420915363	0.1371663231115394	0.20448101936959326	0.20141330425626444	0.10228645401429712	0.04796198800550046	HN-S	0.20448101936959326	10	True	5	HN-S	0	0	0	0	1	2	2	0	0	True
(´・ω・)	20	-16.564531993865966	20	-18.292820024490357	20	-16.36589856147766	20	-16.515625190734863	20	-17.023238134384155	20	-16.60704755783081	20	-16.33127889633179	20	-16.196838569641113	20	-17.064951610565185	0.11974186069845118	0.021264738559825955	0.1460533107603161	0.12574361948327153	0.07568894587471807	0.11475767151886851	0.1511981702876366	0.17295504220720526	0.07259664060970679	NB	0.17295504220720526	7	False	0		0	0	0	0	0	0	0	0	0	
(´・ω・`)	20	-13.887967443466186	20	-15.399384784698487	20	-13.318549013137817	20	-13.518329620361328	20	-13.63194398880005	20	-13.097885608673096	20	-12.708071088790893	20	-13.248751401901245	20	-13.692548465728759	0.06995326641688562	0.015431487351896419	0.12362413918477899	0.1012370928239957	0.09036444216527098	0.15414739133162694	0.22763051157400965	0.1325610690902194	0.08505060006131629	LN	0.22763051157400965	8	True	121	NB	2	0	21	13	1	11	27	33	13	False
(´・‿・`)	20	-55.28257160186767	20	-57.918189430236815	20	-56.34161376953125	20	-56.191168022155765	20	-55.60633029937744	20	-55.31455001831055	20	-55.295410346984866	20	-56.48874130249023	20	-55.83564453125	0.18603720331999876	0.013334155728651955	0.06451543541284091	0.07498966104299376	0.13458392391095553	0.1801821448566725	0.18366398624750094	0.055688684246715366	0.10700480523367024	HP-D	0.18603720331999876	8	False	2	LP	0	0	1	1	0	0	0	0	0	False
(´・・)	20	-23.567397785186767	20	-25.765573978424072	20	-23.432029056549073	20	-23.875214290618896	20	-24.33432149887085	20	-23.817409420013426	20	-23.264015102386473	20	-23.014166164398194	20	-24.365352821350097	0.12857121689090412	0.014272102741480764	0.1472087572188758	0.09450629654930985	0.05971356739814837	0.10013019939078899	0.17414105829786203	0.22356776979528867	0.05788903171734148	NB	0.22356776979528867	6	False	1	LN	0	0	0	0	0	0	1	0	0	False
(´・・・)	20	-30.56454744338989	20	-31.40240869522095	20	-30.3098201751709	20	-30.26809091567993	20	-30.612809944152833	20	-30.362766075134278	20	-30.130547046661377	20	-30.78830337524414	20	-31.27904043197632	0.11017265251293357	0.0476645269667973	0.1421348097712332	0.14819148147983965	0.1049817161241631	0.13480510542888036	0.1700426180996448	0.08808416446255442	0.05392292515395373	LN	0.1700426180996448	5	False	1	NP	0	0	0	1	0	0	0	0	0	False
